Identifier_ID,Identifier_Name,Instance_Type,Instance_Class,vCPUs,Memory_GiB,Instance_Specs_Storage_GiB,Engine_Version,ArchitectureType,Max_Supported_Connections,Used_Memory,Bandwidth_MBps,Connection_Domain,Zone_Id,Instance_Status,Create_Time,End_Time,Network_Type,Vpc_Id,Min_CPU_Util,Max_CPU_Util,Avg_CPU_Util,P95_CPU_Util,Min_Mem_Util,Max_Mem_Util,Avg_Mem_Util,P95_Mem_Util,Min_Connections,Max_Connections,Avg_Connections,P95_Connections,Environment,Tags
m-gs554291692abfc4,user-relation-cache-perf,Memcache,memcache.master.stand.default,0,4.0,4096,2.8,standard,10000,0,24,m-gs554291692abfc4.memcache.singapore.rds.aliyuncs.com,"ap-southeast-1MAZ1(a,b)",Normal,2019-10-15T15:02:48Z,2025-12-19T16:00:00Z,VPC,vpc-t4nh1cy7dkanua0ti8nvo,0.037,0.117,0.0893859649122807,0.10879999999999997,0.942,0.943,0.9421052631578947,0.943,0.045,0.05,0.049175438596491226,0.05,perf,platform=saas;environment_group=nonprod;project=;environment=perf;tribe=customer_and_integration;squad=account_mgt;component=user_relation
m-gs5fc0266ca95f44,savePaymethodMemCache,Memcache,memcache.master.small.default,0,1.0,1024,4.0,standard,10000,0,10,m-gs5fc0266ca95f44.memcache.singapore.rds.aliyuncs.com,ap-southeast-1a,Normal,2025-08-05T09:26:40Z,2025-12-06T16:00:00Z,VPC,vpc-t4n46c0q856vpktj8p0n1,0.053,0.107,0.08236842105263156,0.10119999999999998,3.881,3.884,3.88121052631579,3.883,0.018,0.02,0.019473684210526317,0.02,,
m-gs5fbf5c8ffd4684,paas-3-saas-uat-main,Memcache,memcache.master.stand.default,0,4.0,4096,4.0,standard,10000,0,24,m-gs5fbf5c8ffd4684.memcache.singapore.rds.aliyuncs.com,ap-southeast-1a,Normal,2025-01-20T08:45:04Z,2025-12-15T16:00:00Z,VPC,vpc-t4neh9g8kpk74b9hrvvaw,1.216,1.321,1.2590000000000001,1.2926,13.063,13.172,13.114614035087719,13.1544,1.459,1.46,1.4599122807017542,1.46,uat,component=paas_3_0;project=afap;environment=uat;environment_group=nonprod;tribe=technology;squad=enterprise_architecture;platform=paas
m-gs54117f43b0e504,paymethodMemCache,Memcache,memcache.master.small.default,0,1.0,1024,4.0,standard,10000,0,10,m-gs54117f43b0e504.memcache.singapore.rds.aliyuncs.com,ap-southeast-1b,Normal,2025-09-15T06:57:04Z,,VPC,vpc-t4nmu2kb9ypp8tvgrwvrk,0.071,0.139,0.11035087719298246,0.12539999999999998,3.881,3.884,3.881245614035087,3.883,0.017,0.02,0.01912280701754386,0.02,,
m-gs545aa3df3dcb04,default-slave-dev,Memcache,memcache.master.mid.default,0,2.0,2048,2.8,standard,10000,0,16,m-gs545aa3df3dcb04.memcache.singapore.rds.aliyuncs.com,ap-southeast-1b,Normal,2020-01-02T03:35:19Z,2025-12-23T16:00:00Z,VPC,vpc-t4n46c0q856vpktj8p0n1,0.053,0.133,0.10159649122807018,0.125,1.942,1.948,1.9445438596491227,1.9462,0.579,0.595,0.5807368421052631,0.581,dev,environment=dev;platform=saas;environment_group=nonprod;project=;tribe=shared;squad=shared;component=slave
m-gs57a8b1e1f3d6a4,savePaymethodMemCache,Memcache,memcache.master.small.default,0,1.0,1024,4.0,standard,10000,0,10,m-gs57a8b1e1f3d6a4.memcache.singapore.rds.aliyuncs.com,ap-southeast-1b,Normal,2025-09-03T06:18:25Z,,VPC,vpc-t4n8mqqi2vvec8658xmnd,0.071,0.125,0.10364912280701753,0.1162,3.881,3.884,3.8812280701754385,3.883,0.019,0.02,0.019736842105263157,0.02,,
m-gs5368fe50318434,apdecision-prod,Memcache,memcache.sharding.mid.default,0,32.0,32768,4.0,cluster,480000,0,192,m-gs5368fe50318434.memcache.singapore.rds.aliyuncs.com,ap-southeast-1a,Normal,2025-02-13T09:41:02Z,2025-12-15T16:00:00Z,VPC,vpc-t4n5p64cz3ljeh4c4bm1k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
m-gs5e47a7223f1584,paas-3-saas-uat-backup,Memcache,memcache.master.small.default,0,1.0,1024,4.0,standard,10000,0,10,m-gs5e47a7223f1584.memcache.singapore.rds.aliyuncs.com,ap-southeast-1a,Normal,2025-01-20T08:20:01Z,2025-12-15T16:00:00Z,VPC,vpc-t4neh9g8kpk74b9hrvvaw,0.053,0.115,0.08103508771929825,0.1,3.88,3.884,3.881157894736842,3.8822,0.015,0.02,0.019280701754385968,0.02,uat,component=paas_3_0;project=afap;environment=uat;environment_group=nonprod;tribe=technology;squad=enterprise_architecture;platform=paas
m-gs5f4ea969282744,paymethod-cache-db-sit,Memcache,memcache.master.stand.default,0,4.0,4096,4.0,standard,10000,0,24,m-gs5f4ea969282744.memcache.singapore.rds.aliyuncs.com,ap-southeast-1a,Normal,2025-07-22T06:36:02Z,2025-12-06T16:00:00Z,VPC,vpc-t4n8mqqi2vvec8658xmnd,0.078,0.153,0.10889473684210524,0.12659999999999996,0.97,0.971,0.9700175438596491,0.97,0.016,0.02,0.019228070175438598,0.02,sit,platform=saas;environment_group=nonprod;environment=sit;component=memcache;project=yugi;tribes=b2c;squad=cards
m-gs57efb84e6e8bc4,gcfund_prod_velocity,Memcache,memcache.master.mid.default,0,2.0,2048,4.0,standard,10000,0,16,m-gs57efb84e6e8bc4.memcache.singapore.rds.aliyuncs.com,ap-southeast-1a,Normal,2024-03-15T17:29:11Z,2025-12-07T16:00:00Z,VPC,vpc-t4n5p64cz3ljeh4c4bm1k,3.416,3.633,3.5238771929824564,3.616,2.368,2.389,2.3803684210526312,2.388,1.029,1.03,1.0298771929824564,1.03,production,environment=production;platform=saas
